,name,cafeteria_id,category,portion_volume,portion_weight,calories,total_fat,saturated_fat,carbohydrate,sugar,protein,fiber,sodium,potassium,station,cholesterol,calcium,iron,vitamin_d,vitamin_c,vitamin_a,pk,school
92,Steamed Broccoli and Cauliflower,102775,vegetable,118.294,120.36,90,7,0.5,7.0,2.0,3.0,3.0,95,350.0,FYUL,0.0,40.0,0.7,0.0,78.0,0.0,1092,10
93,Steamed Rice,28232,grain,118.294,92.5,100,0,0.0,22.0,0.0,2.0,0.0,0,50.0,FYUL,0.0,20.0,0.9,0.0,0.0,0.0,1093,10
94,Tomato Braised Beef,57449.1,protein,118.294,85.05,130,10,3.5,5.0,2.0,8.0,1.0,210,250.0,FYUL,0.0,0.0,0.0,0.0,0.0,0.0,1094,10
95,Tomato Olive Salad,32332.1,vegetable,59.147,54.38,70,7,0.5,2.0,1.0,1.0,1.0,220,100.0,FYUL,0.0,20.0,0.4,0.0,7.0,0.0,1095,10
96,Vegetable Garden Salad,102330.1,vegetable,118.294,52.83,30,2,0.0,3.0,1.0,1.0,1.0,25,120.0,FYUL,0.0,10.0,0.2,0.0,14.0,0.0,1096,10
97,Vegetarian Collard Greens,103139,vegetable,118.294,152.68,90,3,0.0,13.0,6.0,4.0,5.0,390,280.0,FYUL,0.0,270.0,0.7,0.0,41.0,0.0,1097,10
98,White Bean and Kale Salad,35089,vegetable,118.294,141.4,160,6,0.5,19.0,1.0,8.0,7.0,320,480.0,FYUL,0.0,170.0,2.4,0.0,42.0,0.0,1098,10
99,Antipasto,4746,grain,118.294,106.63,60,3.5,0.5,7.0,4.0,1.0,2.0,340,230.0,HOMESTYLE,0.0,20.0,0.4,0.0,39.0,10.0,1099,10
100,Baked Zucchini and Tomatoes,102295,vegetable,118.294,113.4,50,2,1.0,8.0,4.0,2.0,2.0,250,300.0,HOMESTYLE,5.0,40.0,1.0,0.0,14.0,15.0,1100,10
101,Balsamic and Red Wine Beets,41844,vegetable,118.294,67.02,40,0,0.0,8.0,6.0,1.0,1.0,220,170.0,HOMESTYLE,0.0,10.0,0.6,0.0,3.0,0.0,1101,10
102,Beef Lasagna,31233.7,protein,236.588,170.1,220,12,5.0,13.0,2.0,16.0,1.0,250,310.0,HOMESTYLE,50.0,210.0,1.7,5.0,7.0,45.0,1102,10
103,Braised Chicken with Smoky Paprika,32588.3,protein,473.176,279.21,290,12,2.0,21.0,5.0,24.0,5.0,320,530.0,HOMESTYLE,95.0,50.0,3.4,5.0,12.0,5.0,1103,10
104,brazilian vegetable feijoada,80411,vegetable,118.294,364.8,270,3.5,0.0,55.0,14.0,9.0,12.0,370,850.0,HOMESTYLE,0.0,110.0,3.7,0.0,65.0,0.0,1104,10
105,Broccoli Rabe,108890,vegetable,236.588,113.4,20,1,0.5,2.0,0.0,2.0,1.0,70,100.0,HOMESTYLE,5.0,60.0,1.0,0.0,10.0,0.0,1105,10
106,Brown Rice and Lentils with Arugula,46092.6,grain,177.441,186.3,290,3.5,0.5,56.0,1.0,10.0,7.0,10,370.0,HOMESTYLE,0.0,20.0,2.8,0.0,2.0,0.0,1106,10
107,"Carrots, Yellow Squash and Snow Peas",4955.4,vegetable,118.294,88.32,60,3.5,0.0,6.0,3.0,1.0,2.0,250,220.0,HOMESTYLE,0.0,30.0,0.5,0.0,15.0,0.0,1107,10
108,Cauliflower and Snow Peas,4957,vegetable,118.294,78.29,45,2,0.0,5.0,3.0,2.0,2.0,170,190.0,HOMESTYLE,0.0,30.0,1.2,0.0,36.0,15.0,1108,10
109,Chickpea and Date Stew,58730.3,vegetable,236.588,173.11,100,1.5,0.0,21.0,12.0,3.0,5.0,115,380.0,HOMESTYLE,0.0,60.0,1.6,0.0,16.0,70.0,1109,10
110,Chipotle Pinto Beans,102498,protein,118.294,349.97,240,1.5,0.0,45.0,3.0,13.0,14.0,620,820.0,HOMESTYLE,0.0,140.0,4.3,0.0,6.0,0.0,1110,10
111,Cilantro Lime Brown Rice,102526,grain,118.294,177.91,220,1.5,0.0,45.0,0.0,5.0,3.0,10,160.0,HOMESTYLE,0.0,10.0,1.0,0.0,1.0,0.0,1111,10
112,Creamed Spinach,102096.2,vegetable,118.294,158.59,100,6,3.0,9.0,4.0,5.0,2.0,200,520.0,HOMESTYLE,15.0,160.0,2.2,40.0,21.0,0.0,1112,10
113,Creamy Polenta,117005,vegetable,118.294,205.32,210,10,6.0,24.0,0.0,4.0,1.0,470,60.0,HOMESTYLE,30.0,80.0,1.3,0.0,0.0,10.0,1113,10
114,Fontina Polenta with Sauteed Mushrooms,98217,vegetable,473.176,442.85,380,19,8.0,39.0,10.0,17.0,3.0,520,650.0,HOMESTYLE,40.0,320.0,2.3,70.0,6.0,60.0,1114,10
115,Fried Plantains,29670.1,vegetable,118.294,45.81,140,9,0.5,16.0,8.0,1.0,1.0,0,190.0,HOMESTYLE,0.0,0.0,0.5,0.0,6.0,0.0,1115,10
116,Fried Plantains,126854.1,vegetable,118.294,61.57,130,4.5,0.0,24.0,12.0,1.0,1.0,150,270.0,HOMESTYLE,0.0,0.0,0.2,0.0,9.0,100.0,1116,10
117,Grilled Green Beans,138462,protein,118.294,113.4,60,0.5,0.0,14.0,5.0,3.0,4.0,120,190.0,HOMESTYLE,0.0,60.0,1.0,0.0,11.0,0.0,1117,10
118,Harissa Grilled Chicken Breast,123292,protein,236.588,113.4,210,9,2.0,1.0,0.0,32.0,0.0,770,370.0,HOMESTYLE,110.0,10.0,0.6,0.0,2.0,5.0,1118,10
119,Harissa Roasted Cauliflower,103917.2,vegetable,118.294,122.08,70,4.5,0.0,8.0,3.0,3.0,3.0,115,400.0,HOMESTYLE,0.0,30.0,0.8,0.0,56.0,0.0,1119,10
120,Hashbrown Casserole,139278,grain,236.588,113.4,220,12,7.0,24.0,2.0,6.0,1.0,190,360.0,HOMESTYLE,30.0,130.0,0.6,5.0,11.0,50.0,1120,10
121,Jasmine Rice,101498,grain,118.294,95.67,140,3,0.0,26.0,0.0,2.0,1.0,95,30.0,HOMESTYLE,0.0,0.0,1.4,0.0,0.0,0.0,1121,10
122,Jollof Rice,105425,grain,118.294,275.52,220,3,0.0,45.0,5.0,5.0,4.0,220,340.0,HOMESTYLE,0.0,70.0,2.5,0.0,82.0,50.0,1122,10
123,Lemon Couscous,28951,vegetable,118.294,138.64,190,0,0.0,40.0,1.0,6.0,3.0,320,110.0,HOMESTYLE,0.0,20.0,0.6,0.0,5.0,0.0,1123,10
