,group,timestamp,name,items,week_num,items_recipe_num,pk,num_missing_Dish,num_bad_units,num_missing_FDA,bad_units
23,lunch,2022-03-11 11:00:00Z,"Lunch on Friday, March 11, 2022","[1240, 1081, 1275, 1014, 1293, 1074, 1292, 1054, 1211, 1062, 1087, 1457]",9,"['103865', '103420', '70499', '103422', '5168', '130555', '103834', '87663', '5427.42', '103930', '50923.10', '101946', '47778.2', '105263', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1023,31,1.0,29.0,['1/2 each']
24,afterlunch,2022-03-12 14:30:00Z,"Afterlunch on Saturday, March 12, 2022",[],9,"['102407', '44726.1', '82258.7', '14920']",1024,4,0.0,4.0,
25,breakfast,2022-03-12 07:30:00Z,"Breakfast on Saturday, March 12, 2022","[1030, 1023, 1018]",9,"['2032.23', '112291', '116941', '608', '39880', '48619.1']",1025,3,3.0,0.0,"['1 sandwich', '3 slice', '1 each']"
26,dinner,2022-03-12 16:30:00Z,"Dinner on Saturday, March 12, 2022","[1130, 1122, 1027, 1143, 1155, 1174, 1175, 1067, 1096, 1103, 1113, 1071, 1043]",9,"['4696.5', '21538', '106424', '102718', '9002.10', '103376', '103930', '35019.6', '14403.24', '138742.1', '31020', '43933', '19437', '22656.1', '15994', '138956', '103635', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920']",1026,13,3.0,9.0,"['1 slice', '1/2 each', '1 slice']"
27,lunch,2022-03-12 11:00:00Z,"Lunch on Saturday, March 12, 2022","[1251, 1280, 1277, 1276, 1306, 1305, 1074, 1206, 1236, 1053]",9,"['4941', '103879', '103906', '63056', '102289', '47204', '112139', '49508.4', '10963', '5864.7', '58022.6', '103834', '94598.1', '43969', '80565.3']",1027,5,4.0,1.0,"['1 slice', '2 each', '1 each', '4 each']"
28,afterlunch,2022-03-13 14:30:00Z,"Afterlunch on Sunday, March 13, 2022",[],10,"['102407', '44726.1', '14920', '82258.7']",1028,4,0.0,4.0,
29,breakfast,2022-03-13 07:30:00Z,"Breakfast on Sunday, March 13, 2022","[1030, 1015, 1009, 1035, 1016]",10,"['2032.23', '31163.28', '18994.9', '134651', '1125.10', '5786.6', '611.3']",1029,2,2.0,0.0,"['2 each', '2 each']"
30,dinner,2022-03-13 16:30:00Z,"Dinner on Sunday, March 13, 2022","[1118, 1150, 1144, 1032, 1175, 1164, 1179, 1059, 1081, 1089, 1084, 1064, 1047, 1045]",10,"['4850', '35997.1', '59008.1', '102199', '103333', '35019.6', '139038', '35016.1', '106352', '103420', '103752', '17687', '103718.1', '102358', '98833', '100472', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '14920', '44726.1', '82258.7', '103643.1', '102815', '103630.1']",1030,14,5.0,9.0,"['3 slice', '1 sandwich', '1 slice', '1 piece', '1 slice']"
31,lunch,2022-03-13 11:00:00Z,"Lunch on Sunday, March 13, 2022","[1267, 1222, 1260, 1263, 1187, 1304, 1218, 1155, 1084, 1064]",10,"['43964', '101498', '30018', '42395.1', '68265', '97343.1', '61478', '58022.6', '103523', '103836', '553.15', '9002.10', '17687', '103718.1']",1031,4,4.0,0.0,"['1/2 each', '1 serving(s)', '4 each', '1/2 each']"
32,afterlunch,2022-03-14 14:30:00Z,"Afterlunch on Monday, March 14, 2022","[1191, 1047]",10,"['21527', '49663.1', '98833', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '103412', '103581.1']",1032,13,4.0,9.0,"['1/2 sandwich', '1 slice', '1 each', '1 piece']"
33,breakfast,2022-03-14 07:30:00Z,"Breakfast on Monday, March 14, 2022","[1030, 1031, 1037, 1013, 1022, 1004, 1003]",10,"['2032.23', '5595', '105032', '128369', '608', '106415', '78123.3', '139032', '128444']",1033,2,2.0,0.0,"['3 slice', '1 plate']"
34,dinner,2022-03-14 16:30:00Z,"Dinner on Monday, March 14, 2022","[1119, 1151, 1123, 1142, 1078, 1186, 1183, 1055, 1098, 1082, 1093, 1052, 1457]",10,"['102507', '18551.7', '109675', '138629', '5294.16', '79474', '103926', '102039', '26649.1', '102964', '108002.2', '525.21', '33992.71', '5326.1', '10514.9', '133176.1', '134256', '4503', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '103412', '103581.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1034,46,8.0,38.0,"['1 slice', '1 serving(s)', '1/2 each', '1 sandwich', '1/2 each', '1 slice', '1 each', '1 piece']"
