group,timestamp,name,items,week_num,items_recipe_num,pk
dinner,2022-03-13 16:30:00Z,"Dinner on Sunday, March 13, 2022","[1198, 1217, 1241, 1235, 1049, 1272, 1259, 1280, 1138, 1161, 1169, 1164, 1144, 1126, 1110, 1108, 1074, 1081, 1085]",10,"['4850', '35997.1', '59008.1', '102199', '103333', '35019.6', '139038', '35016.1', '106352', '103420', '103752', '17687', '103718.1', '102358', '98833', '100472', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '14920', '44726.1', '82258.7', '103643.1', '102815', '103630.1']",1030
lunch,2022-03-13 11:00:00Z,"Lunch on Sunday, March 13, 2022","[1395, 1348, 1388, 1391, 1291, 1401, 1430, 1343, 1444, 1344, 1136, 1246, 1164, 1144]",10,"['43964', '101498', '30018', '42395.1', '68265', '97343.1', '61478', '58022.6', '103523', '103836', '553.15', '9002.10', '17687', '103718.1']",1031
afterlunch,2022-03-14 14:30:00Z,"Afterlunch on Monday, March 14, 2022","[1304, 1300, 1110, 1085, 1078, 1075]",10,"['21527', '49663.1', '98833', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '103412', '103581.1']",1032
breakfast,2022-03-14 07:30:00Z,"Breakfast on Monday, March 14, 2022","[1047, 1048, 1056, 1022, 1035, 1037, 1005, 1004, 1000]",10,"['2032.23', '5595', '105032', '128369', '608', '106415', '78123.3', '139032', '128444']",1033
dinner,2022-03-14 16:30:00Z,"Dinner on Monday, March 14, 2022","[1199, 1242, 1203, 1232, 1158, 1227, 1288, 1289, 1285, 1139, 1133, 1178, 1162, 1173, 1117, 1130, 1122, 1085, 1078, 1075, 1667]",10,"['102507', '18551.7', '109675', '138629', '5294.16', '79474', '103926', '102039', '26649.1', '102964', '108002.2', '525.21', '33992.71', '5326.1', '10514.9', '133176.1', '134256', '4503', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '103412', '103581.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1034
lunch,2022-03-14 11:00:00Z,"Lunch on Monday, March 14, 2022","[1392, 1389, 1419, 1366, 1373, 1396, 1438, 1451, 1437, 1351, 1348, 1335, 1162, 1173, 1667]",10,"['86422.3', '50894', '102616', '102690', '103731', '86904.2', '105460', '139413', '123763', '112288', '101498', '103731.2', '5326.1', '10514.9', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1035
afterlunch,2022-03-15 14:30:00Z,"Afterlunch on Tuesday, March 15, 2022","[1305, 1319, 1320, 1323, 1074, 1065, 1083, 1064]",10,"['120206', '82157.15', '30876.8', '103749', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103329', '32830.2', '7857.2']",1036
breakfast,2022-03-15 07:30:00Z,"Breakfast on Tuesday, March 15, 2022","[1047, 1011, 1006, 1044, 1052, 1232, 1013, 1004, 1000]",10,"['2032.23', '17194.4', '4820.7', '122864', '114599', '138629', '29729.9', '139032', '128444']",1037
dinner,2022-03-15 16:30:00Z,"Dinner on Tuesday, March 15, 2022","[1210, 1225, 1101, 1255, 1250, 1020, 1291, 1270, 1184, 1179, 1150, 1195, 1145, 1115, 1100, 1116, 1074, 1065, 1083, 1064, 1667]",10,"['48842', '23557', '102526', '12274.9', '102312', '105616', '68265', '76011.1', '12986.5', '62597', '102530', '43185.3', '102676', '35515.3', '87697', '28961.1', '2081', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103329', '32830.2', '7857.2', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1038
lunch,2022-03-15 11:00:00Z,"Lunch on Tuesday, March 15, 2022","[1375, 1402, 1423, 1416, 1219, 1446, 1426, 1454, 1334, 1355, 1360, 1195, 1145, 1667]",10,"['49443.5', '1354', '3407', '102520', '102356', '123906', '100715.1', '21775', '102764', '123177', '103446.3', '5721', '102676', '35515.3', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1039
